what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511930756189
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1511930763978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1511930764165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511930778468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511930785000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1511930786739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511930790914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511930792207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511930792636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511930797434
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1511930800962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511930813258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511930813380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511930818614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511930822234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1511930825496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1511930830511
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1511930831069
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1511930834180
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1511930835385
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1511930837653
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1511930845451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1511930930607
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1511930940942
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1511930941649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1511930943829
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1511930953977
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1511930955132
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1511930955719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1511930955726
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1511931003593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1511931004119
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1511931005762
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1511931007429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1511931013734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1511931014572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1511931015332
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1511931025992
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1511931033633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1511931039744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511931040805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511931045345
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1511931047656
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1511931057306
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1511931058523
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1511931061919
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511931062570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511931080674
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1511931094883
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1511931095429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1511931100993
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1511931102760
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1511931103097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511931109915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511931114147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511931125444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511931141007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511931142551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511931143538
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1511931172626
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1511931176844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1511931186760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511931191803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511931204138
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1511931208527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511931208790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511931261673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511931264168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511931438933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511931443105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511931444165
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511931444268
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1511931444726
